EQ,PE,RE,IG CB,HY CB,GB,MONEY
1062793.3925160705,1075685.2270868008,1007705.1495952527,1066201.973884659,1057564.334679603,1062474.9707384813,996443.7218510098
1063650.3454032592,1078644.9404458678,999644.805048468,1068875.1629769024,1060630.6413695882,1068660.8238874485,996446.6281740194
1070504.5298667357,1080898.8833522818,1003582.971419148,1068807.8289081687,1062929.2522137002,1061600.3846795605,996445.9638563376
1070267.1797891231,1086295.0925403784,1007346.0032416676,1069278.7194089983,1064015.0901891615,1063599.914940236,996445.7424216749
1068396.7221627722,1080220.3039480469,1003778.9045117059,1069777.5308061703,1062706.0175118865,1059776.2333188935,996445.6040250404
1062103.8891049682,1066778.1782909224,1003383.383227112,1069129.512241298,1062202.6415455062,1056876.240815019,996445.6870630141
1064517.2799086424,1069173.5423015542,1000731.6697478672,1067898.627375276,1062032.1680865118,1055931.749161427,996445.6040250324
1068212.798192751,1072691.5166981297,1007390.7418632895,1069158.5294170235,1062971.3499134681,1053993.5793951189,996445.2718663946
1084907.6121012063,1083604.0114404806,1019026.5392648745,1071785.0970830144,1067677.0070806413,1062584.2144605103,996445.1334698214
1085511.0716117318,1095886.43875708,1003496.3013646785,1075380.9678120257,1068214.6385125734,1060035.9646975594,996444.7182801515
1097890.5050611075,1103592.7500851105,999258.8278097161,1079058.4470969164,1073901.018329204,1066018.6377247283,996444.4691664453
1090708.6891695492,1098154.0749331727,989390.5615945115,1077587.723726175,1073909.3326216938,1062578.1038645483,996444.3584492751
1103901.540559837,1106555.2917664337,992467.6740570113,1080832.1088584487,1075613.3990269646,1066238.958866896,996444.6906074422
1093866.1388452577,1103819.2989831765,996186.6997755892,1082234.6374632842,1075478.0236858542,1070535.2019911322,996444.5245316469
1091521.2785646082,1101309.1060374302,983819.5544924092,1077796.9663589133,1076470.8635485666,1066415.7271558607,996444.4691730523
1092997.4665598436,1114156.5874951088,980194.2872570435,1081708.8210475964,1080466.0874342727,1065270.0683744522,996444.4968523472
1101208.636790446,1118376.5690885675,986174.3386943756,1082654.1817282198,1081185.9039235003,1062225.6502980138,996444.4414937685
1111691.2801131376,1124727.8810727755,998938.304401855,1083236.992375616,1086052.337600513,1065397.734041789,996444.0262960942
1121970.233966544,1121034.1379189389,1000814.9675076385,1084848.3668580188,1085023.9291271789,1066375.425934575,996443.9432582527
1130444.847599718,1128027.0929021107,1011123.1644775445,1087231.6755034504,1086009.8999587635,1073739.0922411308,996443.8048618647
1129297.3682996493,1126934.227045132,1025399.662101931,1086644.6889703467,1085524.5530358683,1075385.7086611644,996443.6387862313
1126218.0441092032,1119282.632807008,1008987.5391105958,1080725.2114798492,1084035.1734640733,1070527.6492161627,996443.5003898898
1112225.086274449,1106344.694417045,1014967.5613274558,1082001.5182217641,1081325.4200191246,1070288.0072400884,996442.9191136959
1106626.8524863352,1108389.5165443218,1015888.1395005797,1080118.1861344299,1078549.5185938121,1069466.0642721017,996442.7530382051
1115774.7260422735,1112772.527359076,1013846.4671996487,1078049.2633678478,1080869.7528309892,1067483.652186975,996442.5869627428
1107094.360587968,1109115.1762797916,1011790.5872309878,1074907.1568222963,1079473.8078612033,1063355.5650543433,996442.5039250235
1107293.4938612483,1109526.707619194,1010814.2326434626,1073977.7896487098,1078373.8446295965,1058547.099794399,996442.3932080764
1111915.1053839393,1106563.563488067,1010438.0224384048,1076798.790723411,1078408.7818619232,1064929.5982948812,996442.0610505366
1107476.6801746897,1099839.7901539768,1000468.5257533971,1075600.0604611689,1078134.2248899322,1063117.4878452425,996441.9226544028
1096275.9042774208,1080067.8130069713,1002033.5279173731,1078996.1258235222,1076688.4545313697,1066640.4117239006,996441.8119375078
1098157.5500557518,1082374.429923864,1008797.8075046825,1078615.808455668,1074614.7192778816,1068403.8233569907,996441.7565790676
1102653.6467599587,1086875.2634754241,1011461.3504632744,1081502.9139074823,1074502.2858535652,1071270.5439923687,996441.7012206272
1103732.942399921,1098878.442883588,1013134.1883024137,1085862.6614255516,1074534.4877598041,1073484.713830479,996441.4521026029
1110966.6647708898,1108447.573455099,1011380.4705134406,1083357.0845445879,1075104.5137311495,1073988.797439007,996441.3690649722
1107238.2884756261,1113654.763382274,1012236.7138902612,1084463.084211835,1075860.6726320065,1076942.2445876685,996441.3690649719
