Realized_Delta_BOF,SCR_Values
3156.440459917183,-140365.03419224388
6947.449560905341,-145903.53163790845
-989.38134466263,-135159.250543593
-6392.867331235902,-142880.92964066294
-6866.785949821817,-137752.50684066856
-8677.957479352248,-137037.20612146027
-14103.518138665124,-140254.06184451623
-19002.2434924884,-139982.23227800877
-16216.061930593336,-138367.30257468304
-17626.63445168268,-131431.26033854176
-19917.92265557917,-139494.9623338661
-18519.74161473906,-131191.90360440942
-23838.87636783067,-137865.44714749508
-30612.445428187377,-139776.1963925283
-28713.468981491867,-134468.505297175
-29885.810772976838,-136676.3408700476
-27965.736292728572,-135390.83379892234
-27334.193905677297,-138691.0259071256
-34103.91613794211,-138013.4229597137
-38204.128282503225,-129894.8932816118
-37222.4803050803,-135962.07856507465
-37072.10362111498,-138611.80651234862
-44735.42834729771,-139480.86684268594
-53827.14591946523,-133738.99727763078
-60191.636442287476,-138488.92417320912
-50209.69508117798,-134158.17649002658
-44256.23238018202,-133065.6791983969
-39963.37839425285,-138245.1540964628
-40849.21665787685,-135600.61969964262
-39072.27419865818,-138228.91055676524
-40792.37584881869,-139911.413156848
-42348.70965676231,-134135.22119760557
-48040.00921813701,-135954.8823535363
-47964.20899384492,-138908.010024032
-50141.580334491446,-136573.27023171846
-52823.812439274625,-134775.1469543373
-51723.6386552488,-136140.51784429778
-48651.45857181528,-134554.61070938504
-43437.389256933704,-135910.3178653249
-44720.3235430537,-140857.4361465812
-49482.68673517858,-134295.17457220177
-55438.664003267884,-141179.1873459317
-54720.4401745107,-131521.9828603106
-62001.61221691605,-127964.86210928956
-62748.3486929615,-135145.79560539883
-61663.979426049395,-127708.13505663154
-67929.70381498092,-137512.07141510013
-76576.48251220444,-134751.22883953867
-88251.46343712322,-134998.62130454928
-104391.97030761326,-135779.15834251163
-109274.70778986532,-138273.42655160915
-100927.72513165197,-132139.31017034772
-111371.09543116158,-139822.4551852901
-106597.04503287445,-138367.91949288716
-108669.51393977436,-136561.71911377384
-109133.57876224385,-139490.89982367435
-104205.8869376703,-135941.78544230034
-99855.72252366715,-135361.75458506402
-93254.71514088986,-139469.0453105269
-97480.58124164445,-139163.7299669818
-101180.18487990985,-138555.7844447106
-101141.64848105446,-131253.132230907
-102579.30688809126,-134440.22625425187
-99481.24585570325,-135881.95043344572
-104335.77744178858,-142748.8374294153
-100429.99751076067,-142482.13573859746
-99666.87698499812,-138628.0326879232
-94956.85100506723,-135510.0501303843
-97483.76180107193,-137682.88248466875
-97760.12262778915,-132937.90110145963
-93337.59013649286,-137382.6501981357
-96212.8018970869,-140179.90081787002
-99169.49036408646,-137044.31657773352
-93793.76703548175,-138125.69761605383
-93758.97903813375,-136793.37912556352
-94040.71041593316,-133278.74529885707
-93036.39421118854,-131685.78991285828
-91200.89663479535,-130832.88595748613
-86265.22710238572,-137190.47572755095
-86586.69814228278,-131169.6945349912
-85428.78133489285,-138421.20835090938
-82553.90649758978,-132127.38446787698
-81830.34822200215,-135101.16956031456
-84314.69528724335,-135741.4934765084
-84553.44767182297,-135642.9726758129
-84778.33322334872,-132629.40257312226
-90722.699486856,-134245.17514791837
-90542.94316405396,-134614.5677420829
-93062.81078370684,-134922.95449453432
-86748.67570491636,-132805.6497797228
-90143.26300068235,-136478.0027185756
-85945.47330943856,-136684.65431161868
-82306.94455116137,-133276.03975204672
-86738.83797022945,-141354.2342179973
-94474.43885645701,-133695.62285468736
-91967.59719493019,-136654.31490959824
-94095.38177474332,-133582.8770274834
-94676.87626861793,-132464.66008668373
-91365.18841874413,-138240.2070720005
-100418.15403281932,-133997.6033452355
-104949.14449863462,-133287.47696862838
-105767.45618323982,-132938.3376129885
-108972.99518925068,-136501.18699284428
-116093.24262529577,-135358.31083166544
-115092.9534581406,-132821.9756046942
-113544.97212280415,-141091.88889532824
-115375.81739144027,-140314.65867622627
-113153.30411545234,-131485.9252282172
-113737.16009855806,-135392.4834297379
-112306.23817888717,-131249.0098359389
-105425.47166747774,-132016.02546049363
-114038.42022008542,-134989.41061210234
-116550.2816279264,-135697.50882154505
-117390.29840819538,-137004.39850983268
-122597.67389937583,-132998.4544704668
-122675.64215944463,-134390.77883398774
-130225.73438737495,-137492.48085794668
-129008.12373106182,-131954.3278607037
-134260.09258229088,-134502.64698771428
-137405.99997593963,-132838.59479901392
-146058.05466198723,-132525.01939975217
-155057.2293571547,-140998.09712095288
-147500.84088229178,-138200.29994959754
-154186.29888821708,-139704.4485162033
-151215.26680289267,-136296.51779820438
-133971.28614378767,-134539.83725723234
-129110.99745806598,-130979.20896946525
-133917.82318820618,-133502.54193941047
-138916.37570047658,-138233.38997843605
-144433.05925901537,-136841.17728340236
-148204.81640312786,-136219.43123158388
-150732.98654476844,-138060.60225215182
-156707.4099042639,-138749.49362686792
-152051.13202750823,-131360.68113370726
-153123.61245086475,-134529.89394442333
-146174.09793877718,-137352.15119293198
-146654.0720438559,-131899.5946427016
-156606.53502571664,-137550.8653533757
-159651.6446838784,-139104.8285629302
-159066.1890416582,-136806.41480118915
-154396.97243947047,-138363.9622692597
-144271.66611003457,-136451.85465849083
-143446.93256012653,-135879.50664101166
-138095.56650267844,-134947.1955253361
-139158.66780847777,-135747.65586713614
-142696.9530340149,-135539.84288960535
-142121.17710472003,-139707.88064649058
-144916.01772849134,-132884.52664418775
-148594.7404340353,-135482.68275296182
-147752.3293783433,-135558.40855950827
-150389.47839191894,-138082.15732769214
-148975.21151158668,-135591.14773641576
-153741.8177498082,-136297.24614414247
-139035.72328941338,-136175.78579804956
-140740.23967362393,-143057.56008480128
-144090.42501346406,-134145.2973903825
-136041.17473416834,-139028.04900351193
-136210.14522733737,-133327.55023157195
-139502.430009919,-136113.92164738852
-137130.214526781,-137172.02668193707
-137216.83033311705,-136198.82514990435
-134454.3195204382,-129658.33177141681
-133011.49639375415,-136765.43280610623
-131667.77500205254,-133195.0521516556
-132753.19012506225,-138045.26693002955
-131356.3608159218,-133985.15600120593
-131820.44251634122,-134676.14865447255
-129794.75948281388,-136963.0774756052
-120545.34548161458,-135750.9758049983
-122083.10216329456,-134818.00395105983
-124362.96099386842,-135000.21943296652
-122305.91665455524,-137934.9738275309
-124028.29867424548,-134609.26835054572
-124875.07814439829,-132980.6983456948
-130597.72221380286,-133303.24420837435
-134095.1632276266,-134536.87187787856
-130712.79661708965,-136235.0686842516
-131876.6218238843,-133004.12207453273
-139565.22363882966,-130947.29160807365
-148854.3227328353,-130128.5238900647
-149918.91581706377,-136850.9997039029
-155987.48268283322,-130680.84538358613
-147214.9218461878,-140326.50844327925
-151538.7406451502,-140884.10342441735
-153353.4075488241,-138148.85905932842
-157911.12430970895,-134560.33843937606
-160867.42206448514,-138820.86857714294
-154665.13840849977,-141754.86099866006
-158903.62679097964,-133509.47443276597
-152147.4915643714,-139140.71495719271
-151585.86808059004,-134181.13116684443
-142449.91672633926,-137383.47910604766
-139127.7228755894,-137506.92554771848
-139766.10406374733,-140256.31901938436
-133413.1104363905,-136632.26275053472
-130843.94182044861,-137490.23058558733
-129678.43534480757,-134477.42986497443
-125804.06364424841,-132610.49422522142
-123098.22424759029,-134543.03173752493
-116931.43059462262,-135419.0459446976
-120473.61510089424,-136163.26725491756
-122912.05534491036,-136238.9053882166
-118749.35575318686,-136102.19428763507
-114890.99724523118,-131693.21444277905
-113834.0226389924,-135508.8030181875
-113324.99656262412,-135951.97340277513
-113937.87490258948,-141803.30333534183
