realized_delta_bof_values_1,scr_values
-153123.61245086475,-165241.7186838872
-146174.09793877718,-165342.33988735397
-146654.0720438559,-158947.81358188885
-156606.53502571664,-161023.68492494916
-159651.6446838784,-169650.76043239306
-159066.1890416582,-162735.217981235
-154396.97243947047,-162605.1384412385
-144271.66611003457,-162674.41795487318
-143446.93256012653,-164409.71949819554
-138095.56650267844,-165136.30454663018
-139158.66780847777,-167733.15687753755
-142696.9530340149,-165194.19281148136
-142121.17710472003,-164843.51657327072
-144916.01772849134,-165518.40244201495
-148594.7404340353,-163066.7413622511
-147752.3293783433,-167877.3630796107
-150389.47839191894,-163858.27842281197
-148975.21151158668,-159716.33130401903
-153741.8177498082,-163461.20986507024
-139035.72328941338,-166747.29573876975
-140740.23967362393,-165294.17858583375
-144090.42501346406,-170660.05422493938
-136041.17473416834,-160424.6665142012
-136210.14522733737,-161427.4469540128
-139502.430009919,-162032.36543025268
-137130.214526781,-157027.36668324482
-137216.83033311705,-157575.86485922534
-134454.3195204382,-160465.84608661843
-133011.49639375415,-158348.00817075002
-131667.77500205254,-162953.60946855776
-132753.19012506225,-159498.186696445
-131356.3608159218,-160018.05671646417
-131820.44251634122,-159776.29567160245
-129794.75948281388,-163416.63354709398
-120545.34548161458,-164952.4247975607
-122083.10216329456,-166811.94564760063
-124362.96099386842,-163719.1201804097
-122305.91665455524,-162471.63228538705
-124028.29867424548,-165582.25355086743
-124875.07814439829,-161958.04496620086
-130597.72221380286,-160742.5632552685
-134095.1632276266,-159134.60823876093
-130712.79661708964,-159898.18957293816
-131876.6218238843,-162458.3496655488
-139565.22363882966,-166038.01736786656
-148854.3227328353,-165090.48882914806
-149918.91581706377,-164978.56479433566
-155987.48268283322,-160746.91160888158
-147214.9218461878,-161091.39786553892
-151538.7406451502,-162057.37326226095
-153353.4075488241,-162303.70813549796
-157911.12430970895,-160823.78306608414
-160867.42206448514,-168233.49504980256
-154665.13840849977,-165844.5121254867
-158903.62679097964,-164729.29813149112
-152147.4915643714,-161031.51121498813
-151585.86808059004,-164654.67547405115
-142449.91672633926,-164876.28623311658
-139127.7228755894,-166714.7050449566
-139766.10406374733,-170355.36039120052
-133413.1104363905,-164346.16666125058
-130843.9418204486,-166317.4563828988
-129678.43534480756,-170259.71452146358
-125804.0636442484,-164609.45085156907
-123098.22424759027,-165458.03277961919
-116931.43059462262,-163389.88355834893
-120473.61510089424,-158991.85779063805
-122912.05534491036,-162375.3668328804
-118749.35575318686,-162383.73249358105
-114890.99724523118,-167890.24990136066
-113834.0226389924,-164926.3116806912
-113324.99656262412,-162251.504453257
-113937.87490258948,-162796.96981570084
-119964.03040124662,-160723.0298013161
-119849.95132720307,-162263.0471198493
-118313.88988301111,-165648.3200127494
-106261.3872904327,-160493.86166902178
-102298.148203164,-161387.89547701488
-100871.45003531616,-158324.35966932317
-98018.27381691756,-155598.29294355313
-99903.69935403042,-156115.5992324509
-106302.7058875974,-157712.63655725124
-103621.99698816473,-156609.8292142756
-99244.29792439831,-160703.9860505836
-98776.31801774458,-150773.69341788077
-101401.28137772832,-153214.05164249195
-106754.7074441982,-154560.77031247062
-104284.12992311514,-158296.55037296758
-103865.0616457418,-152337.2514097357
-109555.78434550692,-150388.48551068426
-106730.00200942706,-156682.3006136123
-100890.6615629536,-156221.66175289796
-107265.68372165714,-152119.1897764992
-111720.81908091065,-149147.49776843967
-116567.65819834662,-148752.56111239633
-127635.3810920323,-143195.32403813777
-126496.03603754692,-143911.69909288787
-118468.09286968666,-144890.0277569432
-118532.83026863028,-136967.7060165813
