Window,SCR_Values
967,-183780.2274623510
968,-183833.2649715540
969,-184005.99242362400
970,-183917.32040452000
971,-184378.8683597960
972,-184601.21811619100
973,-183118.15664363900
974,-183091.1706023960
975,-182922.81530954600
976,-182877.20053501400
977,-178445.8102880060
978,-179015.01141945600
979,-179132.43334177400
980,-179136.05614047000
981,-179177.89330979500
982,-180206.29041116800
983,-179204.1967545570
984,-180064.6403691810
985,-179946.4200782780
986,-179829.65731957600
987,-179668.72356544100
988,-179123.62099142800
989,-179337.09003036200
990,-179309.40390231700
991,-179281.7553652650
992,-179585.94215004400
993,-179799.42627952100
994,-179989.81486513700
995,-179978.5209884230
996,-179945.48980507800
997,-179965.48257334900
998,-180207.21077507300
999,-181165.61750937900
1000,-181014.88620688600
1001,-181087.46745804100
1002,-181926.3156676740
1003,-181340.1902338880
1004,-182747.73014929700
1005,-181907.6887776700
1006,-181704.13869807300
1007,-181538.78068969500
1008,-181593.50070420900
1009,-181973.50358523200
1010,-182098.37787638700
1011,-181967.87145307000
1012,-182206.86324790500
1013,-184747.53236070700
1014,-184863.3426198170
1015,-182746.12142748600
1016,-184587.099255369
1017,-182788.10443448300
1018,-181541.12145227200
1019,-181343.6675781490
1020,-181339.71216268900
1021,-181282.2003679370
1022,-181192.46685509500
1023,-181046.5991288010
1024,-180608.07589163000
1025,-181630.46771423200
1026,-181575.69634773000
1027,-181497.2062366000
1028,-181516.6532249090
1029,-181183.08126624600
1030,-182382.92810016700
1031,-182642.49947518700
1032,-182577.13499661500
1033,-184539.72850749600
1034,-181474.0484641940
1035,-182237.53668024400
1036,-184607.14063945200
1037,-183245.4331576270
1038,-183405.4423722880
1039,-183445.02571979100
1040,-187349.00328293000
1041,-187291.0847446080
1042,-187406.95548252800
1043,-185909.76946015600
1044,-186122.77795735700
1045,-186145.52277336700
1046,-186192.73557146800
1047,-186254.9504431110
1048,-186254.10980921600
1049,-187457.8425873500
1050,-187760.45926880800
1051,-188219.3134381650
1052,-188313.44419783400
1053,-189514.0658585670
1054,-189492.78400342800
1055,-189331.92257261200
1056,-189526.98052154800
1057,-189618.6726545330
1058,-189618.60069919100
1059,-189822.80321363200
1060,-187134.12084441500
1061,-188414.35618505400
1062,-187693.4593621060
1063,-184525.6901833480
1064,-187683.45457614500
1065,-184394.380595897
1066,-184444.14209997000
1067,-184684.98457485300
1068,-182705.08644919600
1069,-183479.52108550500
1070,-185229.2234738060
1071,-189469.9816069340
1072,-189693.62896100700
1073,-189430.48162565600
1074,-189456.13892788500
1075,-189347.2480302690
1076,-189148.17535787600
1077,-189244.1739788790
1078,-189235.85859861300
1079,-183611.9990877780
1080,-189112.38860111800
1081,-189198.02972079300
1082,-181387.35669116000
1083,-181471.02524972600
1084,-181500.52639102300
1085,-181485.23399255300
1086,-181611.9353205800
1087,-181626.264201456
1088,-181682.69852488900
1089,-181678.79519110200
1090,-181669.94533995100
1091,-181838.40557230800
1092,-182484.77055192800
1093,-181161.01897780600
1094,-183473.26022389400
1095,-183886.5660864110
1096,-184736.74909109000
1097,-185516.92203917300
1098,-185656.74223890400
1099,-185211.58877880300
1100,-185104.16323059600
1101,-184999.51480765700
1102,-185124.32121774500
1103,-187624.499415866
1104,-187797.09928910900
1105,-187772.71052606800
1106,-184328.33338579100
1107,-183111.35866678000
1108,-183133.76919195400
1109,-183189.40573223800
1110,-183371.17769044300
1111,-183440.12815780100
1112,-183428.66061016600
1113,-183701.40223703600
1114,-183579.7735507190
1115,-183497.47759417200
1116,-183407.13569132800
1117,-187052.0467636780
1118,-187369.99825070700
1119,-187346.82460785800
1120,-187510.5926693470
1121,-187453.50247065100
1122,-187386.55715972900
1123,-187325.8299776570
1124,-187405.2070864490
1125,-187434.96709488500
1126,-183657.00844991600
1127,-183595.09435111200
1128,-183738.58411317300
1129,-183671.47972784000
1130,-183808.45722639400
1131,-183997.62268756700
1132,-183959.7724234720
1133,-189181.4062015800
1134,-189213.12195917500
1135,-189078.1361738500
1136,-189293.82512476900
1137,-189176.15182249100
1138,-189181.55109852100
1139,-189148.93736037100
1140,-189764.24052548800
1141,-190046.28669205500
1142,-189711.2044435840
1143,-189705.57643533600
1144,-189605.91331389800
1145,-189902.76147704400
1146,-189193.9674624220
1147,-189286.8550084130
1148,-189296.26769026300
1149,-189118.55857801700
1150,-189320.69358523700
1151,-189600.65469753200
1152,-189543.27991958200
1153,-189002.7308466120
1154,-188995.4589112650
1155,-189028.74813433800
1156,-188843.39623339000
1157,-188814.39884867600
1158,-188927.86510367900
1159,-189153.8775832300
1160,-189303.08008628200
1161,-189586.65800688200
1162,-189508.0974484500
1163,-189495.7486171900
1164,-189537.84912218700
1165,-189614.21825899500
1166,-190053.3955097520
1167,-190267.08909732300
1168,-190280.07408391800
1169,-190368.19361526900
1170,-189915.4506991880
1171,-190109.38630700100
1172,-188709.46272515200
1173,-189840.6499257890
1174,-189712.59536869900
1175,-187931.59226917500
1176,-188022.6814698530
1177,-188049.99447690000
1178,-188022.81949698300
1179,-187893.35946594800
1180,-189074.66397525500
1181,-188939.29531324100
1182,-187818.1340900790
1183,-184142.01388758400
1184,-184294.34234510000
1185,-184398.74285623200
1186,-184344.949580325
1187,-184290.62517544400
1188,-184286.60908865900
1189,-184380.08259203700
1190,-184401.6900133950
1191,-184211.98238863100
1192,-184520.25593951600
1193,-184493.51702085000
1194,-184526.21847847800
1195,-188294.53711253900
1196,-188589.95579613300
1197,-188592.10905592800
1198,-188786.69924219300
1199,-188983.83837598800
1200,-189080.57365685900
1201,-186713.07412599200
1202,-187868.39817263
1203,-185321.6727382550
1204,-185703.202285195
1205,-185652.90806365900
1206,-185582.918183474
1207,-185567.5045691450
1208,-185678.44037923500
1209,-185295.09342983000
1210,-185159.18281932100
1211,-184823.10771338800
1212,-184818.31732527400
1213,-184666.72265312000
1214,-184110.64357206600
1215,-185544.9250090490
1216,-185739.42059203000
1217,-186472.45785612500
1218,-185670.4141371420
1219,-185547.238600003
1220,-185861.2553468490
1221,-185932.62042832600
1222,-186516.69872537800
1223,-186689.7448084650
1224,-186584.93378490700
1225,-186324.41298239700
1226,-186222.2437661740
1227,-185656.88259403600
1228,-185854.72187665400
1229,-185719.9249971500
1230,-185179.8365592250
